Campaign_ID,Product_ID,Budget,Clicks,Conversions,Revenue_Generated,ROI,Customer_ID,Subscription_Tier,Subscription_Length,Flash_Sale_ID,Discount_Level,Units_Sold,Bundle_ID,Bundle_Price,Customer_Satisfaction_Post_Refund,Common_Keywords
CMP_73ZEYI,PROD_N6TJ3L,26529.02,1081,839,49134.7,3.17,CUST_OP1NV7,Standard,2,FLASH_G7L5WT,47,113,BNDL_O4ACGO,347.8,2,Affordable
CMP_I7T3C0,PROD_9O79YH,30877.02,1077,310,24046.81,4.93,CUST_3FS404,Basic,8,FLASH_IPTB5R,69,18,BNDL_AMA3F9,248.13,1,Innovative
CMP_PQE4BR,PROD_PAL55D,34299.57,3940,951,23264.81,2.18,CUST_WWPLKL,Premium,2,FLASH_G2S4KF,38,102,BNDL_Z12655,452.81,2,Innovative
CMP_0JPJSU,PROD_RFVQ9K,42067.16,3485,305,79350.86,0.62,CUST_GAVKMF,Basic,25,FLASH_1NZJOX,28,35,BNDL_HK93UM,143.15,1,Affordable
CMP_A9A3FP,PROD_6AISV3,16440.08,4263,47,26375.47,3.68,CUST_XXDBDT,Basic,13,FLASH_MZXOE6,17,158,BNDL_HW30DT,270.93,2,Durable
CMP_X1OPBR,PROD_77USNO,42205.14,409,315,8688.28,4.23,CUST_MZ3LMG,Standard,15,FLASH_8ZNL0L,51,31,BNDL_DN70PS,261.89,1,Stylish
CMP_TZFZJ1,PROD_4BIK1E,16819.62,1838,222,72477.25,4.65,CUST_CK9J9U,Basic,35,FLASH_K77ATM,15,21,BNDL_HZ4GMV,439.93,2,Stylish
CMP_0RQFJN,PROD_7WU07C,9759.98,4385,782,66455.8,4.58,CUST_8HMLXX,Premium,1,FLASH_9RHURB,44,86,BNDL_G58APA,441.02,1,Innovative
CMP_BIEYIV,PROD_V8E70B,47316.05,4457,596,92430.72,0.65,CUST_1NE3DE,Basic,9,FLASH_N5FNP8,29,126,BNDL_84TUQJ,401.49,2,Durable
CMP_9JZ43H,PROD_YA9GLK,48434.35,2835,362,84952.12,2.65,CUST_DOUGF6,Premium,10,FLASH_TJQ556,45,184,BNDL_QFDH71,342.05,3,Innovative
CMP_ERHBWI,PROD_F9QC8H,47675.89,773,545,88710.22,2.56,CUST_TV9ZQV,Premium,11,FLASH_OJX3XL,34,39,BNDL_VJ9Y89,138.15,4,Stylish
CMP_O0HUM1,PROD_J6GFKJ,47520.11,4909,13,9800.38,4.28,CUST_RPOI04,Basic,33,FLASH_EZ7X2V,64,80,BNDL_8AWIHF,179.22,4,Durable
CMP_1SK145,PROD_ZUMB30,34502.68,2734,78,16089.53,2.63,CUST_8BF8VZ,Standard,30,FLASH_ONTIED,39,75,BNDL_LX6BDW,172.92,3,Stylish
CMP_UAICF2,PROD_VGJ9HY,39904.7,3491,884,16433.15,1.67,CUST_IG0GPP,Basic,12,FLASH_PGWPKX,43,50,BNDL_3YPMZM,401.48,4,Durable
CMP_VOKFBG,PROD_IO9U49,41432.19,4557,557,64342.81,2.09,CUST_TAYZE3,Basic,3,FLASH_QOKUVX,11,81,BNDL_TJYXP4,164.75,2,Innovative
CMP_QH0SMN,PROD_EQN94W,25064.44,4958,339,25221.16,0.63,CUST_N9O07R,Standard,20,FLASH_0DLK7E,20,89,BNDL_BMRPBW,357.68,1,Innovative
CMP_XRCF12,PROD_IFT52G,33081.13,2100,498,23273.84,4.28,CUST_JQE7HQ,Basic,10,FLASH_4YEOXB,23,31,BNDL_69HRLA,130.45,4,Durable
CMP_8W7HAW,PROD_DOYJQE,47731.63,4567,159,8505.21,2.5,CUST_YHYQAH,Standard,15,FLASH_61IBXI,16,152,BNDL_R5WAFX,345.31,4,Durable
CMP_BSPEFE,PROD_8FI3UR,34512.33,3615,115,10146.22,2.59,CUST_1Y2F2F,Premium,3,FLASH_VJECRZ,65,12,BNDL_9SZZKA,149.92,2,Durable
CMP_Y8P901,PROD_18N765,26203.46,180,117,15998.54,4.99,CUST_Z13GEI,Standard,29,FLASH_5IS8Z8,55,7,BNDL_TL33MY,491.8,2,Stylish
CMP_77KVY3,PROD_33COF6,41719.78,4003,261,35090.34,1.36,CUST_84MT33,Premium,33,FLASH_6ECQ4Z,13,145,BNDL_HMMI49,321.45,3,Stylish
CMP_8BNPEG,PROD_DK5IYH,13125.65,1633,14,84334.85,3.79,CUST_RS2N8C,Basic,13,FLASH_5X5X38,32,91,BNDL_GQT8XA,137.93,4,Innovative
CMP_R907KH,PROD_W9I9LC,32654.36,4911,250,90929.37,2.26,CUST_QJL4E0,Standard,13,FLASH_9EZADB,36,13,BNDL_JSM4JS,453.38,2,Innovative
CMP_6ZOWIR,PROD_0HOG0C,33458.8,1692,994,57680.38,4.09,CUST_K25TUU,Basic,7,FLASH_H604TM,20,144,BNDL_1D78G9,189.66,1,Stylish
CMP_D305W1,PROD_FPIRBG,14409.41,2360,687,95547.2,4.53,CUST_OZINP5,Standard,27,FLASH_PMR31N,32,139,BNDL_OV6DY6,58.73,4,Affordable
CMP_1FWRGB,PROD_3BJIOR,35040.17,570,182,31151.61,4.93,CUST_2T8CEL,Standard,4,FLASH_RAWZHY,34,122,BNDL_7OUT8N,159.12,4,Stylish
CMP_0KPFQL,PROD_67AQDN,35825.13,2907,858,51372.49,3.66,CUST_NJN6K7,Standard,28,FLASH_05VCYE,18,14,BNDL_708JQE,124.58,3,Stylish
CMP_DPSZGR,PROD_4SQGLM,36750.76,4034,810,98711.24,4.34,CUST_SNS21E,Basic,14,FLASH_GDF2GO,46,57,BNDL_1WOAST,219.83,2,Durable
CMP_WPM2RM,PROD_JVX5WH,47951.99,833,159,5676.62,3.93,CUST_DU4GHT,Premium,11,FLASH_Y0MI9W,29,21,BNDL_KKO1AT,140.51,1,Stylish
CMP_NUGZ20,PROD_MNT2MC,19707.33,3469,433,59347.53,4.53,CUST_F4ZGKA,Basic,22,FLASH_XIHPHM,49,48,BNDL_4E9JRG,294.06,3,Innovative
CMP_VXPJ0B,PROD_S91NXA,24666.26,4097,372,66489.51,3.37,CUST_79PW52,Basic,9,FLASH_TXLEXI,68,137,BNDL_P0AIPZ,215.33,3,Innovative
CMP_80P7FB,PROD_L9KK0U,30766.7,2449,228,95210.21,0.64,CUST_CQYPL9,Basic,3,FLASH_9KGS0M,45,112,BNDL_0HJFYJ,215.85,1,Affordable
CMP_6WE8W6,PROD_W55R88,44792.05,683,26,83164.88,0.53,CUST_F46UCR,Premium,2,FLASH_KX9MY9,53,98,BNDL_ZZ3RQ2,387.5,4,Innovative
CMP_HEZCE3,PROD_8QBU4Y,49366.97,3051,738,95295.4,3.16,CUST_7A1M6N,Standard,26,FLASH_CBDLRC,51,121,BNDL_7A69IB,131.6,4,Innovative
CMP_GNSET5,PROD_94ZRFO,45303.17,2850,444,81839.45,4.26,CUST_64BC7S,Basic,14,FLASH_D1BTI1,24,46,BNDL_PC5B8A,378.24,1,Innovative
CMP_RVXBXG,PROD_10OCFW,23795.37,3838,654,60718.24,2.74,CUST_QPIS45,Premium,11,FLASH_U0E6XE,25,143,BNDL_CP6VAY,60.59,3,Innovative
CMP_302P22,PROD_02K7IZ,12100.49,2410,207,18666.12,3.24,CUST_8DHTAT,Premium,7,FLASH_UZAKC8,40,135,BNDL_GH2DH9,188.12,4,Innovative
CMP_3LKTC1,PROD_XYX1BS,47560.47,3165,472,18015.62,3.97,CUST_K328QX,Premium,12,FLASH_856Z9D,61,166,BNDL_DDXX9O,77.08,4,Innovative
CMP_CFHTS6,PROD_4593T7,30242.98,1891,4,60011.28,3.29,CUST_9XCD1E,Standard,35,FLASH_09MH82,47,79,BNDL_WGMS1M,93.67,1,Innovative
CMP_YD6OWW,PROD_Y36YGI,30358.46,3935,315,64180.87,1.05,CUST_226IMH,Basic,8,FLASH_50ZRC4,26,112,BNDL_0EZV38,211.76,1,Stylish
CMP_5G320B,PROD_FHP2HH,32952.48,4380,442,64670.43,0.66,CUST_4RVYH2,Standard,14,FLASH_FKHHCB,24,131,BNDL_ZHFBHZ,188.41,2,Durable
CMP_CRZ3YK,PROD_T2AERU,15942.44,2249,828,95996.74,4.01,CUST_W88D4S,Premium,26,FLASH_O8CKWT,31,140,BNDL_K602JW,106.8,4,Affordable
CMP_GV7QWS,PROD_MYRFYW,16582.3,2725,182,14191.29,4.48,CUST_N3OGZV,Standard,24,FLASH_CAA7PU,46,55,BNDL_V4OUZL,99.26,4,Durable
CMP_U914BV,PROD_AWFTJ4,32544.97,332,309,6700.87,4.78,CUST_9H94H4,Standard,6,FLASH_TC1GI7,11,39,BNDL_SXMDH4,230.51,1,Stylish
CMP_DSLVEF,PROD_7FOD0N,45484.9,1407,355,9660.09,4.93,CUST_6F4PGO,Premium,26,FLASH_22YGAU,40,60,BNDL_WDZT2A,461.46,2,Stylish
CMP_VUDZXQ,PROD_08MSQA,7626.44,2904,348,47479.32,3.43,CUST_H52SZF,Premium,7,FLASH_UJLHB0,41,15,BNDL_CRGLZD,273.77,4,Affordable
CMP_N0MZ5R,PROD_7M76W5,21705.56,1854,272,67620.62,1.98,CUST_75IJHK,Standard,8,FLASH_HXG40B,19,68,BNDL_RG9CSO,375.82,3,Affordable
CMP_QKV36K,PROD_300TBQ,24013.73,509,141,24573.1,2.58,CUST_RCK6I3,Premium,17,FLASH_Z6C7H9,18,24,BNDL_GCIZHS,463.89,4,Innovative
CMP_KV1RPH,PROD_XLWJIZ,26160.48,4958,842,19764.4,2,CUST_TI5GXP,Basic,29,FLASH_2UFL6O,15,196,BNDL_69SI87,230.97,2,Durable
CMP_UJ9JL3,PROD_V2GNVN,48037.54,3110,35,14176.92,3.76,CUST_LCIYZL,Basic,16,FLASH_4Z5YTQ,46,114,BNDL_OKLGJ7,95.62,4,Durable
CMP_LF0XJZ,PROD_UEAS8K,10624.88,1633,835,48414.45,2.38,CUST_GS0K4Y,Premium,29,FLASH_2JAOGS,43,5,BNDL_TGQ4SJ,469.43,2,Innovative
CMP_TBB3YA,PROD_MDKL13,44595.46,4195,457,92494.33,2.16,CUST_3OARTY,Basic,3,FLASH_N7RNNQ,66,149,BNDL_YWTQRI,336.32,4,Affordable
CMP_ZGOZYG,PROD_YMGLC7,15308.75,1734,846,75254.67,2.1,CUST_5DT8ZD,Basic,21,FLASH_IPPFLP,11,7,BNDL_KPZXR7,397.98,1,Stylish
CMP_3NG6GP,PROD_NPM80K,24222.92,1188,867,98204.56,0.56,CUST_M67GX2,Basic,8,FLASH_C3XIUW,44,194,BNDL_KGG1XE,119.25,3,Stylish
CMP_STY9D8,PROD_TKLWVJ,39727.48,4380,668,19280.32,3.26,CUST_Y3IPG9,Premium,17,FLASH_L075YM,30,73,BNDL_SM6OEZ,175.58,2,Durable
CMP_FXVU5V,PROD_AVEW9M,42287.77,143,104,7502.85,2.55,CUST_PS1S9K,Premium,2,FLASH_HWCM38,25,68,BNDL_2KIGN1,423.89,3,Stylish
CMP_GI2Y2R,PROD_LVIDJM,43590.12,3557,161,31944.63,4.5,CUST_YJUCLE,Standard,17,FLASH_YNVT9X,18,120,BNDL_1SVPC4,286.16,3,Stylish
CMP_HNMGQW,PROD_U3ZQDU,28983.34,3136,1,21338.77,3.64,CUST_4NG7T7,Standard,11,FLASH_4F140V,28,104,BNDL_Q92CPT,387.06,1,Stylish
CMP_IH4XMI,PROD_HHLQ28,8811.78,4331,670,3641.06,4,CUST_XDHJC1,Standard,4,FLASH_KWKUFC,32,188,BNDL_T1SJ5V,231.76,3,Stylish
CMP_WF3Z8C,PROD_NYLZD7,45046.99,3906,19,23419.38,1.68,CUST_U2G1LK,Standard,8,FLASH_OTT6FR,40,121,BNDL_SZWY66,477.29,1,Durable
CMP_M26FOW,PROD_OHI0FS,39132.89,2088,750,49738.68,3.97,CUST_JQUSY8,Basic,26,FLASH_RRZJ0C,10,75,BNDL_LY0S4W,455.81,2,Stylish
CMP_HQS0VY,PROD_XEUG89,22847.93,3038,346,34735.24,4.22,CUST_ET1M7Y,Basic,3,FLASH_RS94XD,15,151,BNDL_TFEFEH,207.44,3,Affordable
CMP_6TGSIW,PROD_42SIB9,32937.85,4823,622,44931.85,0.87,CUST_RBJ0WB,Standard,23,FLASH_BY6IIU,45,22,BNDL_NW7522,83.48,2,Durable
CMP_44OV70,PROD_R6OVGE,23682.97,1050,737,67713.87,2.14,CUST_OC9FAJ,Basic,16,FLASH_LQ5BGP,21,175,BNDL_ZSVDKZ,85.69,3,Affordable
CMP_JIHYS4,PROD_J7AARX,23461.63,1722,64,75380.98,4.04,CUST_SUTJRS,Premium,6,FLASH_QKR6AR,67,177,BNDL_B5NQMD,139.77,1,Stylish
CMP_GGRLT8,PROD_UKM0LT,46878.52,3604,72,51809.46,0.77,CUST_PFJCZE,Standard,23,FLASH_ZMCQYZ,15,137,BNDL_NZ1HSH,459.78,4,Affordable
CMP_IL4HE4,PROD_HW4VDU,34592.93,2359,977,62603.21,1.21,CUST_WHPJRC,Premium,12,FLASH_XHMK1M,37,95,BNDL_2DOJY0,249.21,3,Durable
CMP_HMCW83,PROD_IENKS6,42313.47,4128,282,7572.5,2.45,CUST_UHDOR6,Premium,7,FLASH_RZF0GC,25,3,BNDL_XK7UUZ,405.31,1,Stylish
CMP_34AOQK,PROD_6ZYFOC,12087.24,2814,517,44677.34,0.58,CUST_ZY07KX,Premium,32,FLASH_DCEI6Q,56,16,BNDL_NOBWN0,61.36,4,Stylish
CMP_C7IW0H,PROD_9CDP3R,7459.82,4698,783,12843.8,2.46,CUST_X1VK78,Standard,7,FLASH_VQVV59,13,115,BNDL_IZLP8Q,308.26,1,Stylish
CMP_QMX5XH,PROD_Z7N1XL,17311.6,4098,9,29963.88,4.89,CUST_AXWFWB,Premium,15,FLASH_BGQT5E,64,29,BNDL_J24OBM,129.09,3,Innovative
CMP_DST1LX,PROD_YUNIIS,34064.21,1945,817,14148.88,2.11,CUST_6TUD7K,Standard,1,FLASH_OF3Y3Y,12,186,BNDL_5WUUIP,438.17,4,Affordable
CMP_182D85,PROD_KHL0EJ,28281.97,4899,1,68714.53,4.96,CUST_DUGW46,Premium,7,FLASH_ZNYFB8,51,22,BNDL_J59CSM,421.31,1,Affordable
CMP_QDMMFW,PROD_UR5LHM,32674.91,2277,119,72403.07,0.66,CUST_QXBZIZ,Premium,18,FLASH_YVB3IC,64,107,BNDL_CXVMZ9,174.45,2,Stylish
CMP_NTN7BD,PROD_LTJTYQ,26286.4,4346,482,4533.44,2.93,CUST_4L7N97,Basic,6,FLASH_92UJIB,11,160,BNDL_E6NBDG,286.4,4,Stylish
CMP_4TFFBQ,PROD_HFND5Q,1426.22,4173,819,32362.02,1.02,CUST_PC992L,Premium,5,FLASH_Y1SIE5,57,13,BNDL_WDTNZD,161.68,1,Stylish
CMP_249JY0,PROD_0R4970,48957.54,2831,757,47587.8,4.86,CUST_SB6BKX,Premium,10,FLASH_4ZAGWU,52,24,BNDL_ZK8GIA,149.17,1,Durable
CMP_4RBKWZ,PROD_R5UTKT,36552.79,2904,344,20442.26,2.5,CUST_4E01JC,Premium,26,FLASH_KZVCSV,27,197,BNDL_9UROO3,206.97,4,Affordable
CMP_OZVNSK,PROD_MAEZZF,40769.5,3208,94,15676.98,3.47,CUST_04Y0BG,Premium,16,FLASH_LT6FCL,51,33,BNDL_CWSS7H,259.31,4,Durable
CMP_5HMDPK,PROD_7P575K,26164.5,2499,486,32900.01,2.67,CUST_RCX92R,Standard,35,FLASH_EPBQO3,20,44,BNDL_IPZAUZ,136.22,4,Affordable
CMP_0Z71BX,PROD_10PITV,32047.33,4487,836,46935.58,1,CUST_2UK7AN,Basic,8,FLASH_TFH13J,30,110,BNDL_6OHFCZ,58.9,3,Stylish
CMP_42D0N2,PROD_HH61VJ,39432.06,2458,945,47136.19,1.16,CUST_QKKED8,Basic,14,FLASH_TAFVI2,24,49,BNDL_Y2CUK5,306.06,1,Durable
CMP_TGN9DG,PROD_SX7PVY,47343.15,3184,142,50547.74,4.64,CUST_ZMAGPQ,Basic,25,FLASH_0Y5SCD,45,79,BNDL_AVMDDZ,130.4,4,Innovative
CMP_Q4DXO0,PROD_2F6AQ4,21915.7,4764,688,9530.52,4.45,CUST_F91KAX,Premium,8,FLASH_SN5HQN,31,10,BNDL_19L5RK,190.85,1,Durable
CMP_OFWRAB,PROD_3V01UJ,47534.75,2352,218,96302.45,4.53,CUST_TDAHHG,Standard,4,FLASH_O9IHZX,15,163,BNDL_0W871K,89.72,3,Durable
CMP_780X9X,PROD_26XILQ,21215.49,189,1,11631.03,2.06,CUST_T7FA48,Standard,20,FLASH_YHW7CX,21,55,BNDL_P93J0J,205.79,2,Innovative
CMP_BH9VU6,PROD_4CN2L5,33369.1,4636,424,46578.99,3.83,CUST_36C69Y,Standard,24,FLASH_OWK21I,30,52,BNDL_CGF9WV,226.84,4,Affordable
CMP_ZXB6NE,PROD_XEWUJ1,30232.5,1807,809,10776.63,1.89,CUST_CJ05P6,Basic,12,FLASH_BLHNNN,24,130,BNDL_USYUCT,274.1,3,Durable
CMP_7Y1XOW,PROD_XRV85E,46725.59,2614,238,81204.03,0.76,CUST_PMFHUY,Premium,12,FLASH_G3K7ZX,16,135,BNDL_XGNBJ9,127.89,2,Affordable
CMP_IZUEA1,PROD_T7D10G,7701.41,4618,133,6543.76,3.99,CUST_GNGR4A,Standard,9,FLASH_KZZX1O,61,36,BNDL_9KUUA2,308.67,4,Durable
CMP_EGRWI2,PROD_1VX32N,34956.62,3522,850,88575.31,4.45,CUST_QVVQKX,Basic,14,FLASH_CFE6T0,34,20,BNDL_Z714GO,115.25,3,Durable
CMP_DA0EQW,PROD_0T29VB,12713.42,4691,98,96003.99,2.29,CUST_M3DUKD,Basic,5,FLASH_CQAFZJ,14,69,BNDL_K3M45L,95.38,1,Innovative
CMP_NVU366,PROD_GRT4OW,26276.45,3783,79,63570.59,3.94,CUST_0I6QBC,Basic,21,FLASH_TXYFU0,51,8,BNDL_ORMUB4,285.45,1,Durable
CMP_PIVWZF,PROD_0SJW99,40012.05,1953,880,70509.53,1.15,CUST_RLW2QZ,Basic,16,FLASH_K5RQB3,61,144,BNDL_N9QVL5,131.76,2,Stylish
CMP_YYNWJR,PROD_AWJGT3,12418.18,4126,989,61199.36,4.65,CUST_LLVX1E,Standard,19,FLASH_7L2691,50,88,BNDL_5BSPB2,57.61,3,Durable
CMP_W6SPDI,PROD_NQEN5N,37327.83,3605,899,12690.25,0.65,CUST_L05E18,Standard,22,FLASH_RSTUNS,60,138,BNDL_91K5YP,101.54,2,Stylish
CMP_2L6RCB,PROD_MJNKDV,35750.37,1973,195,39390.12,3.09,CUST_98HTS8,Premium,22,FLASH_WMT3LA,43,14,BNDL_1P6C9K,264.31,3,Stylish
CMP_ZM09E3,PROD_DPA377,48195.7,2535,383,66170.81,2.46,CUST_1341EG,Basic,5,FLASH_LCQU0D,46,67,BNDL_ZPWT28,476.27,2,Innovative
CMP_TH5JIK,PROD_4Y0OEG,19323.13,1808,636,19084.76,0.89,CUST_BHK420,Basic,31,FLASH_JMPPZA,38,14,BNDL_WDFKHB,432.61,2,Affordable
CMP_QLOD4Z,PROD_SH5E65,32598.7,3548,408,74590.64,2.67,CUST_X5EUY2,Premium,1,FLASH_OSNST0,66,4,BNDL_PRY1EN,291.94,1,Innovative
CMP_PW76BX,PROD_98NI22,43175.26,2507,126,88233.39,1.05,CUST_VXJM2S,Basic,18,FLASH_VGHPYR,28,132,BNDL_DEIJU4,177.68,2,Durable
CMP_D5V6JZ,PROD_N6442V,21361.3,3254,595,31820.05,4.46,CUST_5GF1VD,Basic,19,FLASH_XCOJZY,37,93,BNDL_1DCYLL,233.14,1,Durable
CMP_IM7LO4,PROD_1R46WF,48354.09,4503,700,24854.66,2.95,CUST_Y7Q2A1,Standard,1,FLASH_4HEDKL,31,133,BNDL_NH8A0G,76.26,2,Innovative
CMP_DRAY7X,PROD_5BMM2H,48303.24,456,298,97847.95,1.04,CUST_RBSXF4,Basic,7,FLASH_SGX2S0,29,102,BNDL_FAIKLY,255.71,4,Innovative
CMP_IZNO90,PROD_QCVFB7,17806.57,3832,880,53577,0.67,CUST_MEPC6H,Premium,1,FLASH_AF1ZIF,34,160,BNDL_DBZ0ND,299.78,1,Durable
CMP_Q8MWWC,PROD_KJQYJ0,14962.91,900,627,15186.42,2.98,CUST_T4O3E4,Basic,13,FLASH_NM93U6,17,123,BNDL_UIB8VA,273.58,4,Durable
CMP_VA6J84,PROD_K9B1A1,14892.2,3249,770,95950.46,4.36,CUST_I8T3ZP,Basic,20,FLASH_PEZQG8,41,26,BNDL_6NVG79,102.68,2,Stylish
CMP_TUP4OU,PROD_XBTGHQ,22144.13,2488,613,40775.57,2.13,CUST_HTW8VB,Standard,25,FLASH_CU3Z8O,19,112,BNDL_6A5B70,228.1,1,Affordable
CMP_JP01EJ,PROD_KIOIL2,46252.02,392,305,1314.34,3.41,CUST_FGMGRF,Basic,12,FLASH_7JAHXF,51,13,BNDL_M9DZNY,248.52,1,Innovative
CMP_QTQ41S,PROD_CUQ7RI,3846.53,3686,804,40632.7,2.65,CUST_POEQRD,Premium,1,FLASH_650153,40,71,BNDL_B0P524,207.32,3,Stylish
CMP_S38IEH,PROD_GJKRPY,33689.08,933,498,6155.1,1.48,CUST_2JIMC3,Premium,8,FLASH_PQW8ZK,63,150,BNDL_H8RANA,197.37,2,Stylish
CMP_XX6NVN,PROD_QP9W7M,49392.44,4301,579,61732.53,2.42,CUST_ITN8B6,Basic,16,FLASH_SBIH32,49,57,BNDL_9AH76F,297.74,2,Innovative
CMP_Q9YLRN,PROD_WA3PGW,27580.21,2491,443,8051.6,2.13,CUST_YK8QYA,Basic,16,FLASH_80SQ5T,34,55,BNDL_9FX4WP,196.96,4,Innovative
CMP_133FEG,PROD_2NU57F,1318.34,3779,42,5966.5,1.97,CUST_GXGRCZ,Standard,10,FLASH_ZKJCW8,64,7,BNDL_ZEXM48,128.14,3,Stylish
CMP_I391L3,PROD_8075X9,37651.39,3243,222,1340.35,2.28,CUST_U6JW0B,Basic,6,FLASH_70OQMV,40,118,BNDL_ZEVW3U,459.65,1,Innovative
CMP_EVMC22,PROD_9I11A8,13004.8,2692,893,43917.75,2.49,CUST_URJNA1,Premium,1,FLASH_9G8BU9,13,94,BNDL_2LQHDF,356.23,1,Stylish
CMP_DD12CZ,PROD_ZJUGYF,40389.23,721,144,47341.14,4.32,CUST_Z7HKPR,Basic,35,FLASH_8HG2GV,43,17,BNDL_J5KDH8,263.16,1,Stylish
CMP_STDCA2,PROD_7CEWJQ,13713.24,844,681,3999.72,0.67,CUST_IHPCWN,Standard,13,FLASH_RLV1TB,24,46,BNDL_R9VMDK,387.64,4,Affordable
CMP_JIW3IB,PROD_NSKEJS,18805.67,2005,567,76400.27,3.88,CUST_AQK6X8,Standard,11,FLASH_NEOB41,26,159,BNDL_RR0T5Z,137.84,1,Affordable
CMP_FS0TOQ,PROD_9K7U07,18062.46,4033,53,28275.69,1.05,CUST_K34GJ3,Basic,11,FLASH_3Q6TF3,30,41,BNDL_12QD3E,443.4,2,Innovative
CMP_9QJGC9,PROD_CS98DA,20108.06,3058,144,66754.66,3.8,CUST_B2A6UL,Basic,15,FLASH_YF07LQ,28,14,BNDL_LBU5LA,236.5,3,Innovative
CMP_T06UUR,PROD_0QR0DT,29847.41,3193,519,41597.42,4.37,CUST_YUZZZ6,Premium,33,FLASH_S5NEO6,22,194,BNDL_CBLKVF,61.3,3,Innovative
CMP_9BDDFK,PROD_IHMD1K,47695.64,1232,390,1674.42,3.12,CUST_HSNM6D,Standard,7,FLASH_GJ03LE,16,62,BNDL_8NABNW,351.63,3,Affordable
